RegionID,SizeRank,RegionName,RegionType,StateName,date,rent_index,zorf_growth_pct,rent_lag1,rent_lag3,month
394856,8,"Miami, FL",msa,FL,2015-01-31,1462.0229115051122,,,,1
394856,8,"Miami, FL",msa,FL,2015-02-28,1467.667045331035,,1462.0229115051122,,2
394856,8,"Miami, FL",msa,FL,2015-03-31,1473.0179985206353,,1467.667045331035,,3
394856,8,"Miami, FL",msa,FL,2015-04-30,1479.9161466585358,,1473.0179985206353,1462.0229115051122,4
394856,8,"Miami, FL",msa,FL,2015-05-31,1488.581347607333,,1479.9161466585358,1467.667045331035,5
394856,8,"Miami, FL",msa,FL,2015-06-30,1497.1270880335435,,1488.581347607333,1473.0179985206353,6
394856,8,"Miami, FL",msa,FL,2015-07-31,1506.07590153279,,1497.1270880335435,1479.9161466585358,7
394856,8,"Miami, FL",msa,FL,2015-08-31,1513.4867326616125,,1506.07590153279,1488.581347607333,8
394856,8,"Miami, FL",msa,FL,2015-09-30,1524.5359476881436,,1513.4867326616125,1497.1270880335435,9
394856,8,"Miami, FL",msa,FL,2015-10-31,1531.8722560875192,,1524.5359476881436,1506.07590153279,10
394856,8,"Miami, FL",msa,FL,2015-11-30,1541.1370240416604,,1531.8722560875192,1513.4867326616125,11
394856,8,"Miami, FL",msa,FL,2015-12-31,1544.0119687523595,,1541.1370240416604,1524.5359476881436,12
394856,8,"Miami, FL",msa,FL,2016-01-31,1547.6346456886215,,1544.0119687523595,1531.8722560875192,1
394856,8,"Miami, FL",msa,FL,2016-02-29,1548.847597010246,,1547.6346456886215,1541.1370240416604,2
394856,8,"Miami, FL",msa,FL,2016-03-31,1551.2521715455769,,1548.847597010246,1544.0119687523595,3
394856,8,"Miami, FL",msa,FL,2016-04-30,1552.65508474614,,1551.2521715455769,1547.6346456886215,4
394856,8,"Miami, FL",msa,FL,2016-05-31,1552.2465923775776,,1552.65508474614,1548.847597010246,5
394856,8,"Miami, FL",msa,FL,2016-06-30,1552.575275133846,,1552.2465923775776,1551.2521715455769,6
394856,8,"Miami, FL",msa,FL,2016-07-31,1554.737296855258,,1552.575275133846,1552.65508474614,7
394856,8,"Miami, FL",msa,FL,2016-08-31,1557.4327085083385,,1554.737296855258,1552.2465923775776,8
394856,8,"Miami, FL",msa,FL,2016-09-30,1562.4821782101014,,1557.4327085083385,1552.575275133846,9
394856,8,"Miami, FL",msa,FL,2016-10-31,1565.3362544293732,,1562.4821782101014,1554.737296855258,10
394856,8,"Miami, FL",msa,FL,2016-11-30,1569.0861683645794,,1565.3362544293732,1557.4327085083385,11
394856,8,"Miami, FL",msa,FL,2016-12-31,1568.0336219175183,,1569.0861683645794,1562.4821782101014,12
394856,8,"Miami, FL",msa,FL,2017-01-31,1572.7145702127466,,1568.0336219175183,1565.3362544293732,1
394856,8,"Miami, FL",msa,FL,2017-02-28,1576.1198342029847,,1572.7145702127466,1569.0861683645794,2
394856,8,"Miami, FL",msa,FL,2017-03-31,1584.1749791755467,,1576.1198342029847,1568.0336219175183,3
394856,8,"Miami, FL",msa,FL,2017-04-30,1586.3868855245862,,1584.1749791755467,1572.7145702127466,4
394856,8,"Miami, FL",msa,FL,2017-05-31,1588.8682688114222,,1586.3868855245862,1576.1198342029847,5
394856,8,"Miami, FL",msa,FL,2017-06-30,1591.6567740808348,,1588.8682688114222,1584.1749791755467,6
394856,8,"Miami, FL",msa,FL,2017-07-31,1596.878217937335,,1591.6567740808348,1586.3868855245862,7
394856,8,"Miami, FL",msa,FL,2017-08-31,1604.0901176179102,,1596.878217937335,1588.8682688114222,8
394856,8,"Miami, FL",msa,FL,2017-09-30,1610.8398003801146,,1604.0901176179102,1591.6567740808348,9
394856,8,"Miami, FL",msa,FL,2017-10-31,1616.2406535452733,,1610.8398003801146,1596.878217937335,10
394856,8,"Miami, FL",msa,FL,2017-11-30,1617.5513701219954,,1616.2406535452733,1604.0901176179102,11
394856,8,"Miami, FL",msa,FL,2017-12-31,1618.3865359784509,,1617.5513701219954,1610.8398003801146,12
394856,8,"Miami, FL",msa,FL,2018-01-31,1620.1371664398737,,1618.3865359784509,1616.2406535452733,1
394856,8,"Miami, FL",msa,FL,2018-02-28,1623.0926581575368,,1620.1371664398737,1617.5513701219954,2
394856,8,"Miami, FL",msa,FL,2018-03-31,1627.059903211696,,1623.0926581575368,1618.3865359784509,3
394856,8,"Miami, FL",msa,FL,2018-04-30,1631.1171172729307,,1627.059903211696,1620.1371664398737,4
394856,8,"Miami, FL",msa,FL,2018-05-31,1635.1714679052552,,1631.1171172729307,1623.0926581575368,5
394856,8,"Miami, FL",msa,FL,2018-06-30,1640.0283147984885,,1635.1714679052552,1627.059903211696,6
394856,8,"Miami, FL",msa,FL,2018-07-31,1645.273147109946,,1640.0283147984885,1631.1171172729307,7
394856,8,"Miami, FL",msa,FL,2018-08-31,1651.8201900192696,,1645.273147109946,1635.1714679052552,8
394856,8,"Miami, FL",msa,FL,2018-09-30,1656.9678425980592,,1651.8201900192696,1640.0283147984885,9
394856,8,"Miami, FL",msa,FL,2018-10-31,1663.8952123329314,,1656.9678425980592,1645.273147109946,10
394856,8,"Miami, FL",msa,FL,2018-11-30,1670.142744132561,,1663.8952123329314,1651.8201900192696,11
394856,8,"Miami, FL",msa,FL,2018-12-31,1675.2344926448038,,1670.142744132561,1656.9678425980592,12
394856,8,"Miami, FL",msa,FL,2019-01-31,1674.654081690302,,1675.2344926448038,1663.8952123329314,1
394856,8,"Miami, FL",msa,FL,2019-02-28,1673.1718319033162,,1674.654081690302,1670.142744132561,2
394856,8,"Miami, FL",msa,FL,2019-03-31,1673.831292828905,,1673.1718319033162,1675.2344926448038,3
394856,8,"Miami, FL",msa,FL,2019-04-30,1676.8507612771025,,1673.831292828905,1674.654081690302,4
394856,8,"Miami, FL",msa,FL,2019-05-31,1682.0902651601798,,1676.8507612771025,1673.1718319033162,5
394856,8,"Miami, FL",msa,FL,2019-06-30,1686.1256315305425,,1682.0902651601798,1673.831292828905,6
