ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_lag1,rent_lag1_lower,rent_lag1_upper,rent_lag3,rent_lag3_lower,rent_lag3_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,zorf_growth_pct,zorf_growth_pct_lower,zorf_growth_pct_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-31,1249.1318859808166,1922.0151715461432,2385.222180190754,1249.1318859808166,1249.1318859808166,899.6978424986211,899.6978424986211,899.6978424986211,1065.1844624620935,1065.1844624620935,1065.1844624620935,-550.6600753414293,-550.6600753414293,-550.6600753414293,1782.8549868740465,1782.8549868740465,1782.8549868740465,-167.01044907052375,-167.01044907052375,-167.01044907052375,-165.48661996347244,-165.48661996347244,-165.48661996347244,0.0,0.0,0.0,0.0,0.0,0.0,2148.8297284794376
2015-02-28,1258.522960038961,1930.300358470416,2355.201120957402,1258.522960038961,1258.522960038961,889.3193540962204,889.3193540962204,889.3193540962204,1061.5252447374787,1061.5252447374787,1061.5252447374787,-554.319293066044,-554.319293066044,-554.319293066044,1782.8549868740465,1782.8549868740465,1782.8549868740465,-167.01044907052375,-167.01044907052375,-167.01044907052375,-172.20589064125846,-172.20589064125846,-172.20589064125846,0.0,0.0,0.0,0.0,0.0,0.0,2147.8423141351814
2015-03-31,1268.920220603335,930.2424700491322,1380.8400154583096,1268.920220603335,1268.920220603335,-95.49979768824981,-95.49979768824981,-95.49979768824981,28.660528581196623,28.660528581196623,28.660528581196623,-558.0028268341775,-558.0028268341775,-558.0028268341775,753.673804485898,753.673804485898,753.673804485898,-167.01044907052375,-167.01044907052375,-167.01044907052375,-124.16032626944643,-124.16032626944643,-124.16032626944643,0.0,0.0,0.0,0.0,0.0,0.0,1173.4204229150853
2015-04-30,1278.9820856656327,1213.2162030888283,1697.3722235326838,1278.9820856656327,1278.9820856656327,180.6922409286746,180.6922409286746,180.6922409286746,29.96079119633502,29.96079119633502,29.96079119633502,-561.7108382295394,-561.7108382295394,-561.7108382295394,758.6820784963982,758.6820784963982,758.6820784963982,-167.01044907052375,-167.01044907052375,-167.01044907052375,150.7314497323396,150.7314497323396,150.7314497323396,0.0,0.0,0.0,0.0,0.0,0.0,1459.6743265943073
2015-05-31,1289.3793462300068,1267.9499875335534,1709.4074367912258,1289.3793462300068,1289.3793462300068,199.76230246736168,199.76230246736168,199.76230246736168,31.269694249052208,31.269694249052208,31.269694249052208,-565.4434899095858,-565.4434899095858,-565.4434899095858,763.7236332291618,763.7236332291618,763.7236332291618,-167.01044907052375,-167.01044907052375,-167.01044907052375,168.49260821830947,168.49260821830947,168.49260821830947,0.0,0.0,0.0,0.0,0.0,0.0,1489.1416486973685
2015-06-30,1299.2997101620974,1138.0676826731262,1597.7761078871197,1299.2997101620974,1299.2997101620974,61.76850703787049,61.76850703787049,61.76850703787049,32.587295156334825,32.587295156334825,32.587295156334825,-569.2009456126568,-569.2009456126568,-569.2009456126568,768.7986898395153,768.7986898395153,768.7986898395153,-167.01044907052375,-167.01044907052375,-167.01044907052375,29.181211881535667,29.181211881535667,29.181211881535667,0.0,0.0,0.0,0.0,0.0,0.0,1361.0682171999679
2015-07-31,1309.5507528919245,1143.2427046053758,1604.1564750254984,1309.5507528919245,1309.5507528919245,60.04611641812823,60.04611641812823,60.04611641812823,33.91365171671415,33.91365171671415,33.91365171671415,-572.9833701651575,-572.9833701651575,-572.9833701651575,773.9074709523953,773.9074709523953,773.9074709523953,-167.01044907052375,-167.01044907052375,-167.01044907052375,26.13246470141408,26.13246470141408,26.13246470141408,0.0,0.0,0.0,0.0,0.0,0.0,1369.5968693100526
2015-08-31,1319.8017956217516,1102.7006790718838,1547.4176361063123,1319.8017956217516,1319.8017956217516,1.1977631063781908,1.1977631063781908,1.1977631063781908,35.248822112801115,35.248822112801115,35.248822112801115,-576.7909294887887,-576.7909294887887,-576.7909294887887,779.0502006721136,779.0502006721136,779.0502006721136,-167.01044907052375,-167.01044907052375,-167.01044907052375,-34.051059006422925,-34.051059006422925,-34.051059006422925,0.0,0.0,0.0,0.0,0.0,0.0,1320.9995587281298
2015-09-30,1329.722159553842,1184.174617998736,1646.8736025524406,1329.722159553842,1329.722159553842,82.23023378998926,82.23023378998926,82.23023378998926,36.592864913839115,36.592864913839115,36.592864913839115,-580.6237906078262,-580.6237906078262,-580.6237906078262,784.227104592189,784.227104592189,784.227104592189,-167.01044907052375,-167.01044907052375,-167.01044907052375,45.63736887615014,45.63736887615014,45.63736887615014,0.0,0.0,0.0,0.0,0.0,0.0,1411.9523933438313
2015-10-31,1339.8777028252398,1207.3366478646494,1658.7754544350535,1339.8777028252398,1339.8777028252398,88.40460516169037,88.40460516169037,88.40460516169037,37.945839078272236,37.945839078272236,37.945839078272236,-584.482121656446,-584.482121656446,-584.482121656446,789.438409805242,789.438409805242,789.438409805242,-167.01044907052375,-167.01044907052375,-167.01044907052375,50.45876608341813,50.45876608341813,50.45876608341813,0.0,0.0,0.0,0.0,0.0,0.0,1428.2823079869302
